City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Andover township,Minnesota,91,3,Grand Forks,103151,N/A,N/A,N/A,$450000,2432,$185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,17,65,59,-2,63%,56%,31,56,84,56%,70%,48%,22.81,9.93,2.11,28.22%,34.4%,25.78%,50.7,42,N/A,31.8,91,816,3.1,33.89,MN-01504,47.7161468,-96.6754948
Angus,Minnesota,45,1,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,15,67,59,-5,63%,56%,31,56,84,56%,70%,48%,22.81,9.93,2.11,24.85%,29.23%,23.44%,48.3,28,N/A,31.8,91,783,3.1,45.0,MN-01648,48.0647835,-96.6952421
Badger township,Minnesota,95,71,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,16,64,59,-1,62%,55%,31,56,81,56%,70%,48%,24.01,10.43,2.14,28.22%,34.4%,25.78%,50.7,42,7.7,31.8,92,1131,3.1,1.34,MN-03142,47.7167335,-96.0308764
Belgium,Minnesota,105,3,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,17,65,59,-2,63%,56%,31,56,84,56%,70%,48%,22.81,9.93,2.11,28.22%,34.4%,25.78%,50.7,42,N/A,31.8,91,816,3.1,35.0,MN-04726,47.978024,-96.5477151
Beltrami,Minnesota,96,48,Grand Forks,103151,N/A,12.68%,46,N/A,N/A,N/A,N/A,86.46%,N/A,38.27%,N/A,N/A,16.67%,12.9%,77.5%,Polk County,31.80%,60.70%,0.0%,0.0%,98.96%,0.0%,0.0%,Central Standard Time,82,17,65,57,-2,62%,55%,31,56,84,56%,70%,48%,24.26,10.33,2.71,28.22%,34.4%,25.78%,50.7,42,N/A,31.8,91,831,3.1,2.0,MN-05014,47.5424964,-96.5270799
Brandsvold,Minnesota,293,9,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,18,62,56,-4,62%,55%,31,56,81,56%,70%,48%,24.01,10.43,2.14,28.22%,34.4%,25.78%,50.7,42,7.7,31.8,92,1188,3.1,32.56,MN-07390,47.6311824,-95.7467253
Brandt,Minnesota,79,2,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,15,67,59,-5,63%,56%,31,56,84,56%,70%,48%,22.81,9.93,2.11,28.22%,34.4%,25.78%,48.3,28,7.7,31.8,91,783,3.1,39.5,MN-07408,48.0650494,-96.5656749
Brislet,Minnesota,26,1,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,15,67,59,-5,63%,56%,31,56,84,56%,70%,48%,23.65,9.61,2.48,24.85%,29.23%,23.44%,48.3,28,N/A,31.8,91,783,3.1,26.0,MN-07768,48.1408939,-96.6955302
Bygland,Minnesota,254,9,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,17,65,60,1,63%,56%,31,56,84,56%,70%,48%,24.18,9.29,3.23,29.07%,34.62%,25.44%,50.7,42,N/A,31.8,91,765,3.1,28.22,MN-09118,47.8078902,-96.9215573
Chester township (Polk Cnty),Minnesota,66,2,Grand Forks,103151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polk County,31.80%,60.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,18,62,56,-4,63%,56%,31,56,81,56%,70%,48%,24.68,10.35,2.39,28.22%,34.4%,25.78%,48.3,28,7.7,31.8,92,1188,3.1,33.0,MN-11224,47.8046103,-95.7729509
