City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Center township (Howard Cnty),Indiana,45093,1759,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,62,753,3.7,25.64,IN-11422,40.4833547,-86.1363902
Clay township (Howard Cnty),Indiana,3882,7189,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,44.04,13.45,8.59,30.52%,30.55%,31.56%,37.9,22,8.3,41.0,79,744,3.7,0.54,IN-13096,40.5239246,-86.1972889
Ervin,Indiana,2068,49,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,60%,57%,42,63,85,51%,64%,41%,41.99,13.86,7.61,30.11%,29.67%,33.56%,37.9,22,8.3,41.0,83,708,3.7,42.2,IN-21430,40.5170626,-86.308809
Greentown,Indiana,2028,1572,Kokomo,144100,$49397,11.92%,45,$174000,1381,$126,49,78.98%,$695,53.52%,N/A,N/A,7.38%,1.16%,63.84%,Howard County,30.00%,63.40%,0.0%,0.0%,97.73%,1.04%,0.0%,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,81,753,3.7,1.29,IN-29772,40.4778337,-85.9626775
Harrison township (Howard Cnty),Indiana,9466,438,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,77,753,3.7,21.61,IN-31846,40.4351586,-86.1871186
Honey Creek township (Howard Cnty),Indiana,2181,148,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,44.04,13.45,8.59,30.52%,30.55%,31.56%,37.9,22,8.3,41.0,82,744,3.7,14.74,IN-34528,40.4071865,-86.2676988
Howard township (Howard Cnty),Indiana,2562,86,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,80,753,3.7,29.79,IN-34906,40.5243513,-86.0623221
Jackson township (Howard Cnty),Indiana,344,15,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,34,50,63,18,60%,57%,42,63,87,51%,64%,41%,43.52,12.64,8.61,35.37%,33.19%,38.11%,25.4,16,8.3,41.0,81,723,3.7,22.93,IN-37098,40.5216643,-85.9009494
Kokomo,Indiana,58066,1583,Kokomo,144100,$48830,17.47%,40,$130000,1287,$101,56,66.77%,$741,54.74%,677,2581,14.91%,5.7%,58.08%,Howard County,30.00%,63.40%,1.62%,11.02%,80.0%,4.26%,2.54%,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,64,753,3.7,36.68,IN-40392,40.463957,-86.1276973
Liberty township (Howard Cnty),Indiana,4818,5602,Kokomo,144100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard County,30.00%,63.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,33,51,62,17,60%,57%,42,63,87,51%,64%,41%,46.28,13.61,9.15,38.58%,36.37%,43.22%,37.9,22,8.3,41.0,81,753,3.7,0.86,IN-43326,40.5057235,-85.9762034
