"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLDV0003","01"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","01","99","99","    3.01"," ","E","11"
"US1FLDV0003","02"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","02","99","99","    2.85"," ","E","11"
"US1FLDV0003","03"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","03","99","99","    2.39"," ","E","12"
"US1FLDV0003","04"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","04","99","99","    3.06"," ","E","13"
"US1FLDV0003","05"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","05","99","99","    4.37"," ","E","11"
"US1FLDV0003","06"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","06","99","99","    7.84"," ","E","11"
"US1FLDV0003","07"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","07","99","99","    6.88"," ","E","12"
"US1FLDV0003","08"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","08","99","99","    7.02"," ","E","12"
"US1FLDV0003","09"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","09","99","99","    6.10"," ","E","12"
"US1FLDV0003","10"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","10","99","99","    3.18"," ","E","12"
"US1FLDV0003","11"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","11","99","99","    2.75"," ","E","11"
"US1FLDV0003","12"," 30.2765"," -81.7304","   7.0","JACKSONVILLE 5.9 SW, FL US","12","99","99","    2.90"," ","E","10"
