"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1IABH0006","01"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","01","99","99","    1.14"," ","E","10"
"US1IABH0006","02"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","02","99","99","    1.38"," ","E","10"
"US1IABH0006","03"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","03","99","99","    2.20"," ","E"," 7"
"US1IABH0006","04"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","04","99","99","    4.56"," ","E","10"
"US1IABH0006","05"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","05","99","99","    4.98"," ","E"," 9"
"US1IABH0006","06"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","06","99","99","    6.40"," ","E","10"
"US1IABH0006","07"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","07","99","99","    5.16"," ","E"," 9"
"US1IABH0006","08"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","08","99","99","    3.97"," ","E"," 6"
"US1IABH0006","09"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","09","99","99","    4.34"," ","E","12"
"US1IABH0006","10"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","10","99","99","    3.69"," ","E"," 9"
"US1IABH0006","11"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","11","99","99","    1.63"," ","E"," 6"
"US1IABH0006","12"," 42.4650"," -92.3410"," 278.0","WATERLOO 1.9 SSE, IA US","12","99","99","    2.07"," ","E"," 9"
