"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US10linc035","01"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","01","99","99","    0.30"," ","E","10"
"US10linc035","02"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","02","99","99","    0.70"," ","E","10"
"US10linc035","03"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","03","99","99","    1.14"," ","E"," 8"
"US10linc035","04"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","04","99","99","    2.79"," ","E"," 7"
"US10linc035","05"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","05","99","99","    4.36"," ","E"," 7"
"US10linc035","06"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","06","99","99","    3.74"," ","E","11"
"US10linc035","07"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","07","99","99","    3.49"," ","E","10"
"US10linc035","08"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","08","99","99","    2.54"," ","E"," 8"
"US10linc035","09"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","09","99","99","    1.72"," ","E","10"
"US10linc035","10"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","10","99","99","    1.88"," ","E"," 7"
"US10linc035","11"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","11","99","99","    0.39"," ","E","12"
"US10linc035","12"," 41.0844","-100.7844"," 858.0","NORTH PLATTE 0.6 WNW, NE US","12","99","99","    0.84"," ","E"," 4"
