"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1GACT0003","01"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","01","99","99","    2.96"," ","E"," 9"
"US1GACT0003","02"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","02","99","99","    3.36"," ","E"," 9"
"US1GACT0003","03"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","03","99","99","    3.16"," ","E"," 9"
"US1GACT0003","04"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","04","99","99","    3.47"," ","E","10"
"US1GACT0003","05"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","05","99","99","    4.05"," ","E","12"
"US1GACT0003","06"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","06","99","99","    5.58"," ","E"," 9"
"US1GACT0003","07"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","07","99","99","    5.36"," ","E","11"
"US1GACT0003","08"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","08","99","99","    7.84"," ","E"," 9"
"US1GACT0003","09"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","09","99","99","    4.57"," ","E","10"
"US1GACT0003","10"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","10","99","99","    4.12"," ","E","12"
"US1GACT0003","11"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","11","99","99","    2.89"," ","E"," 6"
"US1GACT0003","12"," 31.9689"," -81.1463","   3.7","SAVANNAH 3.9 SSW, GA US","12","99","99","    3.87"," ","E"," 7"
