"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NJPS0014","01"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","01","99","99","    3.34"," ","E"," 7"
"US1NJPS0014","02"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","02","99","99","    3.32"," ","E","10"
"US1NJPS0014","03"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","03","99","99","    3.97"," ","E","10"
"US1NJPS0014","04"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","04","99","99","    4.74"," ","E"," 9"
"US1NJPS0014","05"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","05","99","99","    4.29"," ","E","10"
"US1NJPS0014","06"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","06","99","99","    4.73"," ","E","10"
"US1NJPS0014","07"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","07","99","99","    4.93"," ","E"," 8"
"US1NJPS0014","08"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","08","99","99","    5.46"," ","E","10"
"US1NJPS0014","09"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","09","99","99","    3.80"," ","E"," 9"
"US1NJPS0014","10"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","10","99","99","    4.42"," ","E"," 9"
"US1NJPS0014","11"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","11","99","99","    3.18"," ","E"," 9"
"US1NJPS0014","12"," 40.9436"," -74.1523","  18.0","HAWTHORNE 1.0 SSE, NJ US","12","99","99","    4.69"," ","E"," 8"
