"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NJBG0017","01"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","01","99","99","    3.31"," ","E"," 8"
"US1NJBG0017","02"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","02","99","99","    3.33"," ","E"," 8"
"US1NJBG0017","03"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","03","99","99","    3.89"," ","E"," 9"
"US1NJBG0017","04"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","04","99","99","    4.60"," ","E"," 6"
"US1NJBG0017","05"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","05","99","99","    4.18"," ","E","12"
"US1NJBG0017","06"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","06","99","99","    4.71"," ","E"," 8"
"US1NJBG0017","07"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","07","99","99","    5.05"," ","E"," 8"
"US1NJBG0017","08"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","08","99","99","    5.35"," ","E"," 3"
"US1NJBG0017","09"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","09","99","99","    3.70"," ","E"," 6"
"US1NJBG0017","10"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","10","99","99","    4.33"," ","E"," 9"
"US1NJBG0017","11"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","11","99","99","    3.35"," ","E"," 7"
"US1NJBG0017","12"," 40.9511"," -74.1183","  28.0","GLEN ROCK 0.7 SSE, NJ US","12","99","99","    4.76"," ","E"," 8"
