"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1AKAB0021","01"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","01","99","99","    1.14"," ","E"," 3"
"US1AKAB0021","02"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","02","99","99","    1.32"," ","E"," 3"
"US1AKAB0021","03"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","03","99","99","    0.90"," ","E"," 4"
"US1AKAB0021","04"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","04","99","99","    0.88"," ","E"," 4"
"US1AKAB0021","05"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","05","99","99","    0.80"," ","E"," 4"
"US1AKAB0021","06"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","06","99","99","    1.32"," ","E"," 7"
"US1AKAB0021","07"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","07","99","99","    2.15"," ","E"," 4"
"US1AKAB0021","08"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","08","99","99","    2.93"," ","E"," 5"
"US1AKAB0021","09"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","09","99","99","    3.08"," ","E"," 5"
"US1AKAB0021","10"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","10","99","99","    2.03"," ","E"," 5"
"US1AKAB0021","11"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","11","99","99","    0.97"," ","E"," 3"
"US1AKAB0021","12"," 61.3122","-149.4958"," 243.5","EAGLE RIVER 2.6 ESE, AK US","12","99","99","    1.63"," ","E"," 3"
