"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1RIKN0002","01"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","01","99","99","    4.19"," ","E"," 8"
"US1RIKN0002","02"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","02","99","99","    3.82"," ","E"," 6"
"US1RIKN0002","03"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","03","99","99","    4.84"," ","E"," 9"
"US1RIKN0002","04"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","04","99","99","    4.89"," ","E"," 7"
"US1RIKN0002","05"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","05","99","99","    3.61"," ","E"," 7"
"US1RIKN0002","06"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","06","99","99","    4.64"," ","E"," 9"
"US1RIKN0002","07"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","07","99","99","    3.85"," ","E","11"
"US1RIKN0002","08"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","08","99","99","    3.64"," ","E"," 9"
"US1RIKN0002","09"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","09","99","99","    3.77"," ","E","10"
"US1RIKN0002","10"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","10","99","99","    5.32"," ","E","11"
"US1RIKN0002","11"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","11","99","99","    4.48"," ","E"," 9"
"US1RIKN0002","12"," 41.6625"," -71.4159","   8.8","EAST GREENWICH 2.3 ESE, RI US","12","99","99","    5.40"," ","E"," 9"
