"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1AZCH0017","01"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","01","99","99","    0.77"," ","R","11","     3.5"," ","P","11","     2.0"," ","P","11","     1.3"," ","P","11","     0.5"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.20"," ","R","11","    0.68"," ","R","11","    1.07"," ","R","11","    0.10"," ","R","11","    0.43"," ","R","11","    0.78"," ","R","11","    1.25"," ","R","11","    0.32"," ","R","11","    0.89"," ","R","11"
"US1AZCH0017","02"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","02","99","99","    0.53"," ","R","11","     3.9"," ","P","11","     2.0"," ","P","11","     0.8"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.23"," ","R","11","    0.33"," ","R","11","    0.71"," ","R","11","    0.20"," ","R","11","    0.24"," ","R","11","    0.37"," ","R","11","    0.93"," ","R","11","    0.24"," ","R","11","    0.43"," ","R","11"
"US1AZCH0017","03"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","03","99","99","    0.53"," ","R","11","     2.9"," ","P","11","     1.5"," ","P","11","     1.0"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.13"," ","R","11","    0.30"," ","R","11","    0.78"," ","R","11","    0.08"," ","R","11","    0.25"," ","R","11","    0.38"," ","R","11","    0.81"," ","R","11","    0.22"," ","R","11","    0.53"," ","R","11"
"US1AZCH0017","04"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","04","99","99","    0.09"," ","R","11","     1.3"," ","P","11","     0.3"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.01"," ","R","11","    0.03"," ","R","11","    0.06"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.03"," ","R","11","    0.08"," ","R","11","    0.03"," ","R","11","    0.04"," ","R","11"
"US1AZCH0017","05"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","05","99","99","    0.08"," ","R","11","     0.9"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.07"," ","R","11","    0.14"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.10"," ","R","11","    0.14"," ","R","11","    0.01"," ","R","11","    0.12"," ","R","11"
"US1AZCH0017","06"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","06","99","99","    0.41"," ","R","11","     3.2"," ","P","11","     1.2"," ","P","11","     0.3"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.11"," ","R","11","    0.30"," ","R","11","    0.61"," ","R","11","    0.04"," ","R","11","    0.25"," ","R","11","    0.36"," ","R","11","    0.70"," ","R","11","    0.22"," ","R","11","    0.42"," ","R","11"
"US1AZCH0017","07"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","07","99","99","    4.08"," ","R","11","    14.9"," ","P","11","     8.9"," ","P","11","     5.4"," ","P","11","     2.6"," ","P","11","     0.8"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.33"," ","R","11","    4.29"," ","R","11","    4.75"," ","R","11","    2.81"," ","R","11","    4.03"," ","R","11","    4.36"," ","R","11","    4.86"," ","R","11","    3.93"," ","R","11","    4.52"," ","R","11"
"US1AZCH0017","08"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","08","99","99","    3.15"," ","R","11","    12.6"," ","P","11","     7.3"," ","P","11","     4.3"," ","P","11","     2.3"," ","P","11","     0.7"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.40"," ","R","11","    2.69"," ","R","11","    3.50"," ","R","11","    2.25"," ","R","11","    2.60"," ","R","11","    3.28"," ","R","11","    3.67"," ","R","11","    2.53"," ","R","11","    3.36"," ","R","11"
"US1AZCH0017","09"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","09","99","99","    2.58"," ","R","11","     7.5"," ","P","11","     4.4"," ","P","11","     2.9"," ","P","11","     1.9"," ","P","11","     0.8"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.52"," ","R","11","    2.52"," ","R","11","    3.44"," ","R","11","    1.12"," ","R","11","    2.14"," ","R","11","    3.03"," ","R","11","    3.64"," ","R","11","    1.77"," ","R","11","    3.29"," ","R","11"
"US1AZCH0017","10"," 31.5490","-110.2776","1391.7","SIERRA VISTA 1.3 E, AZ US","10","99","99","    0.50"," ","R","11","     2.4"," ","P","11","     1.5"," ","P","11","     0.7"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.02"," ","R","11","    0.18"," ","R","11","    0.68"," ","R","11","    0.00"," ","R","11","    0.08"," ","R","11","    0.29"," ","R","11","    0.83"," ","R","11","    0.05"," ","R","11","    0.38"," ","R","11"
