city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Alameda,California,79827,,
Albany,California,20145,,
Antioch,California,111468,,
Ashland,California,23566,,
Bay Point,California,25378,,
Belmont,California,26963,,
Berkeley,California,123065,,
Brentwood,California,63013,,
Burlingame,California,30071,,
Castro Valley,California,64392,,
Concord,California,129227,,
Daly City,California,107197,,
Danville,California,44933,,
Dublin,California,63856,,
East Palo Alto,California,29448,,
El Cerrito,California,25280,,
Foster City,California,33056,,
Fremont,California,234829,,
Hayward,California,158817,,
Hercules,California,26090,,
Lafayette,California,25949,,
Livermore,California,91763,,
Martinez,California,38397,,
Menlo Park,California,35211,,
Millbrae,California,22998,,
Newark,California,48148,,
Novato,California,53781,,
Oakland,California,422575,,
Oakley,California,41656,,
Pacifica,California,38663,,
Pittsburg,California,71723,,
Pleasant Hill,California,34903,,
Pleasanton,California,79975,,
Redwood City,California,84518,,
Richmond,California,110051,,
San Bruno,California,44663,,
San Carlos,California,29647,,
San Francisco,California,874784,,
San Leandro,California,90489,,
San Lorenzo,California,30117,,
San Mateo,California,103619,,
San Pablo,California,30959,,
San Rafael,California,59178,,
San Ramon,California,81344,,
South San Francisco,California,66878,,
Union City,California,75067,,
Walnut Creek,California,69836,,
