City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Addison,Michigan,633,659,Adrian,110229,$41023,13.5%,35,$371000,1142,$325,69,54.03%,$607,59.45%,90,225,21.87%,9.49%,59.96%,Lenawee County,36.20%,57.10%,0.0%,0.0%,99.84%,0.0%,0.0%,N/A,84,32,52,39.1,41.4,N/A,76,1095,3.4,0.96,MI-00380,41.9862177,-84.3491425,50%,66%,39%,62%,56%,33.6,38,58,59,15,11.4,7.05,42.19%,36.37%,47.67%,30,86
Adrian,Michigan,20743,2590,Adrian,110229,$31576,17.65%,N/A,$168000,1377,$122,61,47.90%,N/A,65.80%,32,320,16.8%,5.00%,N/A,Lenawee County,36.20%,57.10%,N/A,4.78%,N/A,18.70%,4.7%,N/A,85,34,51,38.34,58.0,7.6,60,696,3.4,8.01,MI-00460,41.9462373,-84.0702124,52%,67%,39%,59%,54%,32.7,39,59,61,18,11.35,7.14,34.03%,30.77%,35.78%,51,87
Adrian township,Michigan,6215,776,Adrian,110229,$52857,N/A,N/A,$168000,1377,$122,36,82.70%,N/A,40.10%,32,320,N/A,5.00%,N/A,Lenawee County,36.20%,57.10%,N/A,N/A,N/A,5.20%,N/A,N/A,85,34,51,38.34,58.0,7.6,77,696,3.4,8.01,MI-00460,41.9462373,-84.0702124,52%,67%,39%,59%,54%,32.7,39,59,61,18,11.35,7.14,34.03%,30.77%,35.78%,51,87
Blissfield,Michigan,3447,1553,Adrian,110229,$52044,13.14%,35,$168000,1377,$122,69,77.84%,$884,42.04%,215,646,3.85%,3.84%,70.77%,Lenawee County,36.20%,57.10%,0.0%,0.52%,93.91%,2.18%,0.17%,N/A,85,34,51,38.34,35.4,7.6,79,696,3.4,2.22,MI-09000,41.8311182,-83.8634577,52%,67%,39%,59%,54%,32.7,39,59,61,18,11.35,7.14,34.03%,30.77%,35.78%,26,87
Blissfield township,Michigan,3447,1553,Adrian,110229,$52044,13.14%,35,$168000,1377,$122,69,77.84%,$884,42.04%,215,646,3.85%,3.84%,70.77%,Lenawee County,36.20%,57.10%,0.0%,0.52%,93.91%,2.18%,0.17%,N/A,85,34,51,38.34,35.4,7.6,79,696,3.4,2.22,MI-09000,41.8311182,-83.8634577,52%,67%,39%,59%,54%,32.7,39,59,61,18,11.35,7.14,34.03%,30.77%,35.78%,26,87
Britton,Michigan,631,799,Adrian,110229,$64375,16.44%,39,$270000,1459,$185,66,85.58%,$675,36.76%,N/A,N/A,6.36%,6.71%,69.01%,Lenawee County,36.20%,57.10%,0.0%,0.0%,94.45%,3.33%,2.06%,N/A,86,33,53,37.12,58.0,7.6,81,714,3.4,0.79,MI-10760,41.9876561,-83.8304546,52%,67%,39%,59%,54%,32.7,39,59,59,16,11.07,7.11,35.67%,33.3%,39.44%,51,89
Cambridge,Michigan,5648,177,Adrian,110229,$56889,24.89%,N/A,N/A,N/A,N/A,38,63.30%,N/A,37.90%,88,477,N/A,5.00%,N/A,Lenawee County,36.20%,57.10%,N/A,1.20%,N/A,6.10%,N/A,N/A,84,32,52,37.51,41.4,N/A,81,888,3.4,31.91,MI-12720,42.0299841,-84.1895792,50%,66%,39%,62%,56%,33.6,38,58,59,15,10.78,7.46,34.03%,30.77%,35.78%,30,86
Cement City,Michigan,520,584,Jackson,176351,$45662,9.63%,38,$199000,1555,$128,71,68.46%,$812,42.2%,N/A,N/A,16.35%,5.58%,55.13%,Lenawee County,36.20%,57.10%,0.19%,0.0%,93.46%,2.69%,0.0%,Eastern Standard Time,84,32,52,37.51,41.4,N/A,81,888,3.4,0.89,MI-14260,42.068253,-84.328176,50%,66%,39%,62%,56%,33.6,38,58,59,15,10.78,7.46,37.18%,32.64%,38.33%,30,86
Clayton,Michigan,267,376,Adrian,110229,$45893,5.42%,39,$287000,983,$292,78,68.91%,$820,51.01%,126,632,5.28%,4.96%,62.69%,Lenawee County,36.20%,57.10%,0.0%,0.0%,85.02%,12.36%,7.49%,N/A,84,32,52,31.97,41.4,7.6,83,729,3.4,0.71,MI-16280,41.8648661,-84.2347617,50%,66%,39%,62%,56%,33.6,38,58,62,18,10.19,5.62,32.85%,30.55%,31.22%,30,86
Clinton,Michigan,2885,1577,Adrian,110229,$69118,26.77%,36,$206000,1392,$148,48,84.37%,$725,49.68%,294,1352,4.23%,6.46%,78.33%,Lenawee County,36.20%,57.10%,0.35%,0.38%,95.84%,1.01%,3.67%,N/A,86,33,53,37.12,58.0,N/A,79,714,3.4,1.83,MI-16480,42.0698959,-83.9686951,52%,67%,39%,59%,54%,32.7,39,59,59,16,11.07,7.11,34.03%,30.77%,35.78%,51,89
