City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Charlotte,9088,28,0,7,3,18,175,20,143,12,0
Cheboygan,4695,18,0,8,0,10,88,7,80,1,1
Chelsea,5543,4,0,0,0,4,72,3,66,3,0
Chesaning,2238,2,0,0,0,2,7,1,6,0,0
Chesterfield Township,46774,87,0,12,10,65,559,68,470,21,5
Chikaming Township,3108,5,0,2,1,2,50,19,30,1,0
Chocolay Township,5931,11,0,0,0,11,27,2,25,0,1
Clare,3061,10,0,5,0,5,39,5,34,0,1
Clarkston,925,1,0,0,0,1,3,0,3,0,0
Clawson,11948,7,0,2,1,4,52,8,42,2,0
Clayton Township,7110,9,0,0,0,9,45,26,18,1,0
Clay Township,8844,23,0,5,0,18,55,4,46,5,1
Clinton,2274,2,0,1,0,1,14,4,9,1,0
Clinton Township,101308,298,0,39,18,241,1370,171,1043,156,7
Clio,2483,9,0,1,2,6,30,6,23,1,0
Coldwater,12098,47,1,14,2,30,275,29,225,21,2
Coleman,1188,0,0,0,0,0,3,1,2,0,0
Coloma Township,6362,14,0,7,0,7,126,24,96,6,0
Colon,1159,2,1,1,0,0,6,1,5,0,0
Columbia Township,7359,12,0,1,0,11,49,4,40,5,0
Commerce Township,39690,26,1,4,4,17,201,19,176,6,1
Constantine,2105,6,0,2,0,4,22,5,15,2,1
Corunna,3337,10,0,4,0,6,23,5,18,0,2
Covert Township,2853,12,0,4,0,8,56,19,33,4,0
Croswell,2262,14,0,8,1,5,21,1,19,1,0
Crystal Falls,1359,3,0,0,0,3,20,4,13,3,0
Davison,4874,10,0,8,0,2,38,4,31,3,0
Davison Township,19207,26,0,8,0,18,208,41,158,9,0
Dearborn,93902,305,4,36,56,209,2104,201,1637,266,8
Dearborn Heights,55368,227,0,24,34,169,874,190,590,94,4
Decatur,1731,8,0,2,0,6,37,7,29,1,0
Denton Township,5379,2,0,2,0,0,45,0,44,1,0
Detroit,663502,13040,275,952,2346,9467,28550,6820,14844,6886,789
DeWitt,4790,4,0,2,0,2,19,2,17,0,1
DeWitt Township,15613,23,0,8,4,11,125,27,90,8,0
Dowagiac,5719,45,0,11,1,33,195,23,152,20,0
Dryden Township,4734,2,1,1,0,0,25,4,18,3,0
Durand,3825,6,0,1,2,3,16,0,14,2,0
East Grand Rapids,12040,4,0,2,1,1,99,13,75,11,0
East Jordan,2351,4,0,2,0,2,24,3,21,0,0
East Lansing,47913,88,0,40,11,37,840,113,563,164,24
Eastpointe,32340,223,3,27,37,156,828,165,553,110,5
Eaton Rapids,5216,31,0,9,0,22,81,8,62,11,0
Eau Claire,599,0,0,0,0,0,1,1,0,0,0
Ecorse,9601,117,2,2,21,92,106,24,70,12,6
Elk Rapids,1618,0,0,0,0,0,0,0,0,0,0
Elkton,751,0,0,0,0,0,4,0,4,0,0
Elsie,983,0,0,0,0,0,1,0,0,1,0
Emmett Township,11668,43,0,6,4,33,601,77,507,17,1
Escanaba,12129,60,0,16,3,41,222,14,202,6,1
Essexville,3296,0,0,0,0,0,21,5,14,2,1
Evart,1865,13,0,4,1,8,21,8,11,2,1
Fair Haven Township,1038,0,0,0,0,0,2,0,2,0,0
Farmington,10587,6,0,2,0,4,83,15,64,4,0
Farmington Hills,81262,87,0,17,7,63,759,145,547,67,5
Fennville,1421,0,0,0,0,0,3,0,3,0,0
Fenton,11281,21,0,5,4,12,203,18,179,6,1
Ferndale,20097,50,0,4,5,41,443,45,352,46,0
Flat Rock,10024,17,0,1,4,12,146,4,117,25,1
Flint,95212,1284,23,64,78,1119,1986,559,1220,207,25
Flint Township2,30319,241,2,30,36,173,,,936,82,9
Flushing,7860,6,0,3,0,3,65,7,55,3,0
Flushing Township,10174,11,0,7,1,3,46,14,31,1,0
Forsyth Township,6197,12,0,4,0,8,28,5,22,1,0
Fowlerville,2869,5,0,4,0,1,62,5,56,1,0
Frankenmuth,5458,5,0,3,0,2,54,10,43,1,0
Frankfort,1289,3,0,0,0,3,9,0,9,0,0
Franklin,3268,2,0,0,0,2,36,7,27,2,0
Fraser,14578,33,0,7,4,22,220,28,180,12,1
Fremont,4103,11,0,5,0,6,82,2,77,3,0
Fruitport Township,14346,16,0,3,8,5,536,30,499,7,1
Gagetown,360,0,0,0,0,0,0,0,0,0,0
Gaines Township,6080,3,0,1,0,2,15,4,10,1,0
Galien,533,0,0,0,0,0,0,0,0,0,0
Garden City,26420,96,1,11,14,70,293,65,188,40,0
Garfield Township,838,0,0,0,0,0,0,0,0,0,0
Gaylord,3709,14,0,2,0,12,186,10,170,6,0
Genesee Township,20410,63,0,12,4,47,341,172,141,28,2
Gerrish Township,2922,2,0,0,1,1,11,2,9,0,0
Gibraltar,4467,4,0,2,0,2,41,10,26,5,0
Gladstone,4699,5,0,0,0,5,51,8,43,0,1
Gladwin,2880,18,0,5,0,13,48,13,33,2,1
Grand Blanc,7865,11,0,1,0,10,68,11,53,4,0
Grand Blanc Township,36523,61,0,19,3,39,402,54,320,28,1
Grand Haven,11155,28,1,11,3,13,173,14,155,4,0
Grand Ledge,7862,5,0,3,1,1,92,11,75,6,0
Grand Rapids,201799,1286,8,144,274,860,3850,595,2754,501,35
Grandville,16021,39,0,9,8,22,575,37,518,20,1
Grant,892,1,0,1,0,0,13,2,10,1,0
Grayling,1833,7,0,4,0,3,73,10,63,0,0
Green Oak Township,19075,15,0,4,2,9,124,14,101,9,0
Greenville,8447,29,0,8,2,19,311,33,269,9,2
Grosse Ile Township,10135,1,0,1,0,0,18,3,14,1,0
Grosse Pointe,5141,6,0,0,2,4,91,10,73,8,0
Grosse Pointe Farms,9108,9,0,1,3,5,80,4,64,12,0
Grosse Pointe Park,11041,14,0,6,4,4,165,12,138,15,0
Grosse Pointe Shores,2836,1,0,0,0,1,28,2,25,1,0
Grosse Pointe Woods,15350,25,0,2,6,17,191,9,153,29,0
Hamburg Township,21755,5,0,0,0,5,38,6,30,2,1
Hampton Township,9428,16,0,7,1,8,76,11,59,6,0
Hamtramck,21633,174,1,8,53,112,414,113,230,71,7
Hancock,4533,5,0,5,0,0,31,0,29,2,0
Harbor Beach,1584,9,0,5,0,4,35,5,30,0,0
Harbor Springs,1208,1,0,0,0,1,6,0,6,0,0
Harper Woods,13746,110,1,4,18,87,606,91,425,90,2
Hart,2089,17,0,2,0,15,131,7,121,3,1
Hartford,2589,6,0,0,0,6,13,4,9,0,0
Hastings,7313,18,0,5,0,13,151,14,133,4,1
Hazel Park,16478,40,1,8,2,29,261,20,212,29,1
Hesperia,941,3,0,0,0,3,22,4,18,0,0
Highland Park,10703,221,2,16,43,160,328,57,203,68,26
Highland Township,20302,8,0,2,0,6,75,13,52,10,0
Hillsdale,8020,23,0,7,0,16,128,13,108,7,0
Holland,33356,127,1,25,12,89,613,94,498,21,4
Holly,6185,5,0,4,0,1,40,13,26,1,0
Hopkins,611,0,0,0,0,0,0,0,0,0,0
Houghton,8029,3,0,2,0,1,113,1,108,4,0
Howell,9637,32,1,9,2,20,76,10,57,9,1
Hudson,2207,9,0,2,0,7,34,6,24,4,0
Huntington Woods,6321,0,0,0,0,0,23,7,14,2,0
Huron Township,16089,26,0,7,2,17,106,16,81,9,0
Imlay City,3575,6,0,1,0,5,30,6,22,2,0
Independence Township,37101,34,0,2,3,29,179,18,149,12,0
Inkster,24268,242,7,22,32,181,595,176,318,101,9
Ionia,10907,44,0,30,0,14,139,14,114,11,2
Iron Mountain,7320,7,0,2,0,5,4,0,4,0,0
Iron River,2816,15,0,1,0,14,38,6,25,7,0
Ironwood,4883,8,0,1,1,6,90,8,77,5,1
Ishpeming,6426,12,0,2,1,9,65,3,56,6,0
Ishpeming Township,3528,3,0,0,0,3,2,2,0,0,0
Jackson,32503,360,4,51,37,268,1344,206,1025,113,17
Jonesville,2204,6,0,2,0,4,95,3,88,4,0
Kalamazoo,76827,949,9,110,182,648,3578,703,2546,329,44
Kalamazoo Township,24613,96,1,14,25,56,670,135,455,80,4
Kalkaska,2086,1,0,1,0,0,24,1,21,2,0
Keego Harbor,3462,1,0,1,0,0,21,2,18,1,0
Kentwood,52274,162,0,23,20,119,1111,170,850,91,5
Kinde,417,0,0,0,0,0,0,0,0,0,0
Kingsford,4950,10,0,6,0,4,37,6,29,2,0
Kinross Township,7288,8,1,2,0,5,6,2,4,0,0
Laingsburg,1281,2,0,2,0,0,8,4,2,2,2
Lake Angelus,309,0,0,0,0,0,0,0,0,0,0
Lake Linden,962,0,0,0,0,0,3,1,1,1,0
Lake Odessa,2036,2,0,1,0,1,16,3,13,0,1
Lake Orion,3177,6,0,2,0,4,27,5,21,1,1
Lakeview,1007,1,0,0,0,1,43,2,41,0,0
Lansing,118953,1313,12,140,178,983,3355,763,2225,367,21
Lansing Township,8294,70,1,13,11,45,441,52,353,36,3
Lapeer,8597,35,1,12,5,17,279,24,252,3,0
Lapeer Township,5032,1,0,0,0,1,6,1,5,0,0
Lathrup Village,4124,3,0,2,0,1,35,6,29,0,0
Laurium,1912,0,0,0,0,0,21,4,17,0,1
Lawton,1799,4,0,1,0,3,48,12,33,3,0
Lennon,482,0,0,0,0,0,6,2,4,0,0
Leslie,1909,1,0,0,0,1,22,4,16,2,0
Lexington,1099,0,0,0,0,0,3,0,3,0,0
Lincoln Park,36336,224,1,24,35,164,812,127,620,65,5
Lincoln Township,14615,14,0,6,1,7,171,11,151,9,0
Linden,3908,3,0,0,1,2,15,1,14,0,0
Litchfield,1333,1,0,0,1,0,10,2,8,0,0
Livonia,93644,167,0,22,18,127,1411,126,1173,112,7
Lowell,4198,7,0,0,0,7,104,16,77,11,0
Ludington,8144,32,0,17,0,15,136,21,112,3,0
Lyon Township,21540,13,0,2,1,10,125,26,96,3,0
Mackinac Island,468,2,0,0,0,2,94,0,93,1,0
Mackinaw City,797,0,0,0,0,0,23,2,21,0,0
Madison Heights,30081,53,0,11,13,29,593,92,461,40,2
Madison Township,8287,11,2,1,0,8,100,4,92,4,0
Mancelona,1364,0,0,0,0,0,0,0,0,0,0
Manistee,6103,23,0,17,0,6,99,9,87,3,0
Manistique,2915,16,0,3,0,13,44,5,37,2,0
Manton,1544,0,0,0,0,0,0,0,0,0,0
Marenisco Township,1434,0,0,0,0,0,1,0,1,0,0
Marine City,4061,9,0,1,0,8,21,1,18,2,0
Marlette,1756,6,0,0,1,5,16,0,16,0,0
Marquette,20599,26,0,15,3,8,182,12,165,5,0
Marshall,6997,10,0,4,1,5,81,6,71,4,0
Marysville,9656,9,1,0,1,7,73,7,63,3,0
Mason,8483,19,0,2,0,17,82,10,71,1,1
Mattawan,1970,15,0,1,0,14,44,10,30,4,0
Mayville,882,4,0,4,0,0,3,0,3,0,0
Melvindale,10264,47,0,5,2,40,236,35,172,29,1
Memphis,1184,1,0,1,0,0,0,0,0,0,0
Mendon,854,1,0,0,0,1,7,1,6,0,0
Menominee,8052,33,0,13,1,19,144,18,117,9,3
Meridian Township,43790,108,1,40,12,55,900,96,759,45,7
Metamora Township,4287,4,0,1,0,3,14,1,11,2,0
Metro Police Authority of Genesee County,19931,49,0,8,5,36,268,81,178,9,1
Midland,41791,56,1,21,4,30,392,36,344,12,3
Milan,6106,13,0,6,1,6,45,7,35,3,0
Milford,16984,12,0,4,2,6,62,11,45,6,0
Millington,995,0,0,0,0,0,16,1,15,0,0
Montague,2359,3,1,0,0,2,33,2,28,3,0
Montrose Township,7447,6,0,1,1,4,59,16,37,6,1
Morenci,2146,9,0,2,0,7,19,6,13,0,0
Morrice,894,1,0,1,0,0,7,0,7,0,0
Mount Morris,2834,25,0,9,3,13,31,9,22,0,0
Mount Morris Township,20274,130,2,18,7,103,344,111,187,46,5
Mount Pleasant,25315,48,0,22,2,24,384,36,332,16,1
Munising,2177,7,1,0,0,6,40,6,33,1,0
Muskegon,37178,308,8,27,46,227,1293,252,911,130,11
Muskegon Heights,10717,232,5,15,36,176,544,113,395,36,11
Muskegon Township,17937,45,0,11,6,28,494,56,417,21,0
Napoleon Township,6757,5,0,2,0,3,17,3,12,2,0
Nashville,1678,4,0,1,0,3,21,8,12,1,0
Negaunee,4544,9,0,3,1,5,40,2,38,0,1
Newaygo,2068,6,0,1,0,5,39,6,32,1,2
New Baltimore,12444,8,0,6,0,2,47,9,38,0,1
New Buffalo,1877,2,0,0,0,2,13,2,11,0,0
New Era,446,0,0,0,0,0,2,0,2,0,0
New Lothrop,552,0,0,0,0,0,4,1,3,0,0
Niles,11106,86,0,20,17,49,366,49,274,43,1
Northfield Township,8788,16,0,4,0,12,81,19,56,6,0
North Muskegon,3797,2,0,2,0,0,51,1,49,1,0
Northville,5971,8,0,0,0,8,44,2,42,0,1
Northville Township,29170,20,0,6,0,14,297,31,250,16,2
Norton Shores,24702,37,0,11,5,21,477,44,405,28,2
Norway,2756,1,0,1,0,0,0,0,0,0,0
Novi,61699,48,1,8,2,37,514,21,466,27,0
Oakland Township,19649,2,0,2,0,0,38,14,23,1,0
Oak Park,29654,72,2,12,15,43,510,125,323,62,6
Olivet,1857,2,0,1,0,1,13,0,13,0,0
Ontwa Township-Edwardsburg,6553,19,0,4,1,14,128,21,93,14,1
Orchard Lake,2483,2,0,0,0,2,20,3,16,1,1
Orion Township,36878,24,1,3,2,18,172,18,147,7,0
Oscoda Township,6746,19,1,1,1,16,79,27,49,3,2
Otisville,823,0,0,0,0,0,0,0,0,0,0
Otsego,4007,0,0,0,0,0,37,10,24,3,1
Ovid,1611,0,0,0,0,0,4,1,2,1,0
Owendale,224,0,0,0,0,0,0,0,0,0,0
Owosso,14399,97,1,21,7,68,197,44,140,13,3
Oxford,3574,1,0,0,1,0,10,2,7,1,0
Oxford Township,19467,14,0,6,0,8,82,13,65,4,0
Paw Paw,3370,17,0,9,1,7,177,20,152,5,0
Peck,591,0,0,0,0,0,0,0,0,0,0
Pentwater,853,2,0,0,1,1,5,0,5,0,0
Perry,2075,7,0,0,1,6,18,7,10,1,0
Petoskey,5747,2,0,0,1,1,30,8,21,1,0
Pigeon,1123,0,0,0,0,0,0,0,0,0,0
Pinckney,2410,2,0,0,0,2,11,2,9,0,0
Pinconning,1238,3,0,2,0,1,12,3,9,0,0
Pittsfield Township,39417,69,1,16,11,41,629,54,512,63,2
Plainwell,3804,11,0,2,0,9,53,5,45,3,0
Pleasant Ridge,2465,0,0,0,0,0,15,1,14,0,0
Plymouth,9175,6,0,4,1,1,61,9,46,6,1
Plymouth Township,27020,18,1,4,1,12,184,21,141,22,1
Pontiac,59791,769,10,66,108,585,1300,315,875,110,15
Portage,49583,136,0,30,14,92,1549,204,1279,66,7
Port Austin,620,1,0,0,0,1,9,3,6,0,0
Port Huron,28783,218,2,25,26,165,662,124,491,47,9
Portland,3932,11,0,5,0,6,47,2,40,5,1
Potterville,2712,0,0,0,0,0,2,0,1,1,0
Prairieville Township,3525,2,0,2,0,0,16,0,15,1,0
Quincy,1616,4,0,0,0,4,25,3,21,1,0
Raisin Township,7760,6,0,4,0,2,6,4,2,0,0
Reading,1042,0,0,0,0,0,0,0,0,0,0
Redford Township,46742,244,4,33,20,187,953,218,551,184,5
Reed City,2377,18,0,4,0,14,39,13,26,0,0
Reese,1364,2,0,0,0,2,8,4,4,0,0
"Richfield Township, Genesee County",8358,6,0,3,0,3,63,19,33,11,0
"Richfield Township, Roscommon County",3630,4,0,3,0,1,8,4,4,0,0
Richland,806,1,0,0,0,1,3,0,3,0,0
"Richland Township, Saginaw County",3925,1,0,0,0,1,9,2,7,0,0
Richmond,5904,26,0,6,0,20,29,1,28,0,0
River Rouge,7404,80,3,10,11,56,155,26,107,22,8
Riverview,12027,20,0,2,4,14,102,14,72,16,2
Rochester,13429,6,0,2,1,3,51,5,44,2,0
Rochester Hills,75167,39,0,5,3,31,461,42,405,14,1
Rockford,6377,9,0,6,1,2,60,5,52,3,0
Rockwood,3165,3,0,1,0,2,19,2,15,2,0
Rogers City,2663,1,0,0,0,1,26,3,21,2,0
Romeo,3608,3,0,0,0,3,5,1,4,0,1
Romulus,23507,231,2,34,18,177,671,117,446,108,1
Roosevelt Park,3793,3,0,0,0,3,254,1,250,3,1
Roseville,47381,180,3,18,45,114,1361,141,1086,134,7
Rothbury,448,0,0,0,0,0,9,0,9,0,0
Royal Oak,59742,61,1,9,4,47,439,38,369,32,1
Saginaw,47954,707,9,34,51,613,743,245,421,77,20
Saginaw Township,39022,82,2,15,14,51,707,70,615,22,2
Saline,9431,6,0,1,0,5,62,2,54,6,0
Sandusky,2508,7,0,0,0,7,50,10,40,0,0
Saugatuck-Douglas,2307,0,0,0,0,0,8,0,7,1,0
Sault Ste. Marie,13478,33,0,16,0,17,182,19,155,8,0
Schoolcraft,1559,0,0,0,0,0,29,3,23,3,0
Scottville,1210,2,0,0,0,2,32,0,32,0,0
Sebewaing,1629,2,0,2,0,0,6,1,5,0,0
Shelby,2032,10,0,0,0,10,42,5,37,0,0
Shelby Township,80806,99,0,33,3,63,475,55,371,49,1
Shepherd,1489,3,0,1,0,2,7,0,7,0,0
Somerset Township,4541,3,0,1,0,2,12,1,11,0,0
Southfield,73335,200,1,33,45,121,1508,358,898,252,3
Southgate,28979,74,1,14,15,44,731,57,628,46,2
South Haven,4326,24,0,7,1,16,258,14,237,7,0
South Lyon,11896,6,0,3,0,3,33,4,29,0,0
Sparta,4391,8,0,4,0,4,72,7,64,1,0
Spring Arbor Township,8009,1,0,0,0,1,10,2,8,0,0
Springfield Township,14554,5,0,2,0,3,38,10,24,4,0
Springport Township,2148,3,0,0,0,3,11,4,7,0,0
Stanton,1435,1,0,0,0,1,9,4,5,0,0
St. Charles,1891,1,0,0,0,1,17,2,15,0,0
St. Clair,5286,12,0,5,0,7,65,13,48,4,1
St. Clair Shores,59365,107,2,24,10,71,552,80,415,57,0
Sterling Heights,133377,167,0,25,17,125,1140,92,952,96,7
St. Ignace,2309,5,0,1,0,4,16,1,15,0,1
St. Johns,7938,18,0,10,1,7,43,9,31,3,0
St. Joseph,8355,17,0,6,2,9,169,8,156,5,1
St. Joseph Township,9738,12,0,1,1,10,162,15,139,8,0
St. Louis,7104,20,0,9,0,11,59,7,51,1,0
Stockbridge,1257,2,0,1,0,1,23,5,17,1,0
Sturgis,10779,44,0,17,4,23,310,29,244,37,5
Sumpter Township,9407,15,0,0,1,14,54,13,34,7,0
Sylvan Lake,1864,2,0,0,0,2,14,1,13,0,0
Tawas,4471,8,0,2,0,6,69,3,63,3,0
Taylor,60923,378,1,35,41,301,1386,242,998,146,12
Tecumseh,8382,15,0,1,1,13,78,14,61,3,1
Thetford Township,6689,0,0,0,0,0,0,0,0,0,0
Thomas Township,11438,20,0,3,0,17,88,21,61,6,0
Three Oaks,1549,3,0,0,1,2,32,6,25,1,0
Three Rivers,7643,75,1,16,8,50,352,52,269,31,1
Tittabawassee Township,9863,6,0,0,0,6,40,9,28,3,0
Traverse City,15772,66,3,15,4,44,231,27,197,7,1
Trenton,18147,20,0,7,1,12,135,14,101,20,0
Troy,84688,67,2,10,8,47,1042,70,918,54,2
Tuscarora Township,2934,6,0,1,0,5,51,4,45,2,0
Ubly,785,4,0,4,0,0,8,2,6,0,0
Unadilla Township,3425,8,0,1,0,7,13,4,8,1,0
Utica,5195,11,0,4,1,6,186,5,176,5,0
Van Buren Township,28294,80,1,9,5,65,579,58,456,65,0
Vassar,2534,10,0,1,0,9,7,0,7,0,0
Vernon,770,0,0,0,0,0,4,0,4,0,0
Vicksburg,3490,4,0,0,0,4,58,6,49,3,0
Walker,25051,45,0,15,9,21,604,59,518,27,3
Walled Lake,7184,10,0,0,1,9,49,4,43,2,0
Warren,134653,648,8,89,83,468,2465,569,1540,356,17
Waterford Township,73105,135,2,43,10,80,646,122,472,52,9
Watervliet,1652,6,0,2,0,4,23,5,17,1,0
Wayland,4272,14,0,6,1,7,58,13,43,2,0
Wayne,16816,120,0,17,17,86,296,73,174,49,5
West Bloomfield Township,66067,40,0,10,6,24,344,42,276,26,1
West Branch,2048,0,0,0,0,0,28,2,26,0,1
Westland,81444,307,1,80,29,197,1178,164,904,110,8
White Cloud,1395,10,0,6,0,4,22,3,18,1,0
Whitehall,2785,3,0,1,0,2,46,4,40,2,1
White Lake Township,31556,25,0,6,2,17,210,14,188,8,1
White Pigeon,1521,2,0,0,0,2,40,5,26,9,0
Williamston,3972,7,0,2,0,5,26,6,18,2,0
Wixom,14074,24,0,4,4,16,187,22,155,10,0
Wolverine Lake,4825,1,0,0,0,1,15,0,15,0,0
Woodhaven,12438,13,0,0,4,9,164,8,143,13,0
Woodland Township,2115,0,0,0,0,0,0,0,0,0,0
Wyandotte,24829,59,1,11,6,41,354,47,279,28,3
Wyoming,76295,368,3,61,51,253,1122,125,800,197,9
Yale,1875,9,0,0,0,9,22,8,14,0,0
Ypsilanti,21178,216,2,26,26,162,736,119,553,64,1
Zeeland,5572,11,1,4,0,6,49,15,32,2,0
Zilwaukee,1523,0,0,0,0,0,6,3,3,0,0
